symbol,turnover_24h_usd_e9,excluded_reason,coverage_top50_bps,suitable_baskets,measured,window_start_utc_ms,window_secs,events,median_bid_depth_usd_e9,median_ask_depth_usd_e9,depth_check,order_size_e9,order_size_notional_usd_e9,selected_for_pilot,final_rank
INJUSDT,13943387054300000,rank_beyond_pool,,,false,,,,,,,,,false,
AEROUSDT,13355711585700000,rank_beyond_pool,,,false,,,,,,,,,false,
MUUSDT,13054637390400000,rank_beyond_pool,,,false,,,,,,,,,false,
XAGUSDT,12409760966700000,rank_beyond_pool,,,false,,,,,,,,,false,
DASHUSDT,11929386824800000,rank_beyond_pool,,,false,,,,,,,,,false,
JUPUSDT,11845431495700000,rank_beyond_pool,,,false,,,,,,,,,false,
PENGUUSDT,11820095147900000,rank_beyond_pool,,,false,,,,,,,,,false,
ASTERUSDT,11311520693600000,rank_beyond_pool,,,false,,,,,,,,,false,
MINAUSDT,10728944248400000,rank_beyond_pool,,,false,,,,,,,,,false,
OPUSDT,10485896573600000,rank_beyond_pool,,,false,,,,,,,,,false,
XLMUSDT,10445116070500000,rank_beyond_pool,,,false,,,,,,,,,false,
FFUSDT,10311658875300000,rank_beyond_pool,,,false,,,,,,,,,false,
NVDAUSDT,10162201563800000,rank_beyond_pool,,,false,,,,,,,,,false,
GOOGLUSDT,10152291709400000,rank_beyond_pool,,,false,,,,,,,,,false,
TSLAUSDT,9315128795600000,non_crypto_base,,,false,,,,,,,,,false,
BLURUSDT,8773556718100000,rank_beyond_pool,,,false,,,,,,,,,false,
TRXUSDT,8721122824100000,rank_beyond_pool,,,false,,,,,,,,,false,
WIFUSDT,8440019004600000,rank_beyond_pool,,,false,,,,,,,,,false,
MNTUSDT,8063410660000000,rank_beyond_pool,,,false,,,,,,,,,false,
BTWUSDT,7850539901000000,rank_beyond_pool,,,false,,,,,,,,,false,
ATOMUSDT,7848085916000000,rank_beyond_pool,,,false,,,,,,,,,false,
VIRTUALUSDT,7788017959000000,rank_beyond_pool,,,false,,,,,,,,,false,
SOPHUSDT,7634809071300000,rank_beyond_pool,,,false,,,,,,,,,false,
INTCUSDT,7627852701300000,rank_beyond_pool,,,false,,,,,,,,,false,
SHIB1000USDT,7345658067200000,rank_beyond_pool,,,false,,,,,,,,,false,
HBARUSDT,7276927368700000,rank_beyond_pool,,,false,,,,,,,,,false,
CRCLUSDT,7234666608700000,rank_beyond_pool,,,false,,,,,,,,,false,
TIAUSDT,6881318726500000,rank_beyond_pool,,,false,,,,,,,,,false,
1000BONKUSDT,6865046376400000,rank_beyond_pool,,,false,,,,,,,,,false,
ZROUSDT,6751037954100000,rank_beyond_pool,,,false,,,,,,,,,false,
FILUSDT,6590224305700000,rank_beyond_pool,,,false,,,,,,,,,false,
CRVUSDT,6435557825500000,rank_beyond_pool,,,false,,,,,,,,,false,
SPXUSDT,6261255476200000,rank_beyond_pool,,,false,,,,,,,,,false,
4USDT,6147552494900000,rank_beyond_pool,,,false,,,,,,,,,false,
POLUSDT,5941804558400000,rank_beyond_pool,,,false,,,,,,,,,false,
DRAMUSDT,5895532521000000,rank_beyond_pool,,,false,,,,,,,,,false,
METAUSDT,5884840731800000,rank_beyond_pool,,,false,,,,,,,,,false,
MRVLUSDT,5744546354300000,rank_beyond_pool,,,false,,,,,,,,,false,
ICPUSDT,5662434584700000,rank_beyond_pool,,,false,,,,,,,,,false,
THETAUSDT,5629619179800000,rank_beyond_pool,,,false,,,,,,,,,false,
XCNUSDT,5588645947800000,rank_beyond_pool,,,false,,,,,,,,,false,
CHIPUSDT,5491377616200000,rank_beyond_pool,,,false,,,,,,,,,false,
TREEUSDT,5378981531200000,rank_beyond_pool,,,false,,,,,,,,,false,
GRIFFAINUSDT,5321035705900000,rank_beyond_pool,,,false,,,,,,,,,false,
CYSUSDT,5293651572600000,rank_beyond_pool,,,false,,,,,,,,,false,
ETCUSDT,5289472340300000,rank_beyond_pool,,,false,,,,,,,,,false,
PENDLEUSDT,5082685712000000,rank_beyond_pool,,,false,,,,,,,,,false,
STRKUSDT,5039878763300000,rank_beyond_pool,,,false,,,,,,,,,false,
BERAUSDT,5021552688800000,rank_beyond_pool,,,false,,,,,,,,,false,
MONUSDT,5014719353400000,rank_beyond_pool,,,false,,,,,,,,,false,
GRAMUSDT,4932005015200000,rank_beyond_pool,,,false,,,,,,,,,false,
SOXSUSDT,4796708018000000,rank_beyond_pool,,,false,,,,,,,,,false,
ORCLUSDT,4738927599300000,rank_beyond_pool,,,false,,,,,,,,,false,
DELLUSDT,4725672960800000,rank_beyond_pool,,,false,,,,,,,,,false,
RAVEUSDT,4716326537300000,rank_beyond_pool,,,false,,,,,,,,,false,
HAJIMIUSDT,4698051334300000,listed_under_30d,,,false,,,,,,,,,false,
EWYUSDT,4607101863000000,rank_beyond_pool,,,false,,,,,,,,,false,
EGLDUSDT,4461327915500000,rank_beyond_pool,,,false,,,,,,,,,false,
EIGENUSDT,4359998026700000,rank_beyond_pool,,,false,,,,,,,,,false,
CPUSDT,4158053757100000,listed_under_30d,,,false,,,,,,,,,false,
TMXUSDT,4038417701800000,listed_under_30d,,,false,,,,,,,,,false,
4STOCKUSDT,4031869210100000,listed_under_30d,,,false,,,,,,,,,false,
LDOUSDT,3985406388800000,rank_beyond_pool,,,false,,,,,,,,,false,
VELVETUSDT,3877188759000000,rank_beyond_pool,,,false,,,,,,,,,false,
SKYUSDT,3839176554100000,rank_beyond_pool,,,false,,,,,,,,,false,
PUNDIXUSDT,3746525010900000,rank_beyond_pool,,,false,,,,,,,,,false,
SKRUSDT,3600953408700000,rank_beyond_pool,,,false,,,,,,,,,false,
KASUSDT,3593726865600000,rank_beyond_pool,,,false,,,,,,,,,false,
SEIUSDT,3482529791000000,rank_beyond_pool,,,false,,,,,,,,,false,
ALGOUSDT,3387502872700000,rank_beyond_pool,,,false,,,,,,,,,false,
RENDERUSDT,3375916546500000,rank_beyond_pool,,,false,,,,,,,,,false,
HUSDT,3370095530000000,rank_beyond_pool,,,false,,,,,,,,,false,
GALAUSDT,3272864305200000,rank_beyond_pool,,,false,,,,,,,,,false,
JTOUSDT,3251616768800000,rank_beyond_pool,,,false,,,,,,,,,false,
HOODUSDT,3239869323700000,rank_beyond_pool,,,false,,,,,,,,,false,
VETUSDT,3225426272500000,rank_beyond_pool,,,false,,,,,,,,,false,
BSBUSDT,3214388627500000,rank_beyond_pool,,,false,,,,,,,,,false,
STXUSDT,3163357580700000,rank_beyond_pool,,,false,,,,,,,,,false,
COINUSDT,3063368855400000,rank_beyond_pool,,,false,,,,,,,,,false,
GRASSUSDT,3028476990300000,rank_beyond_pool,,,false,,,,,,,,,false,
NBISUSDT,2896062623900000,rank_beyond_pool,,,false,,,,,,,,,false,
EDGEUSDT,2890192982900000,rank_beyond_pool,,,false,,,,,,,,,false,
ALLOUSDT,2827850722000000,rank_beyond_pool,,,false,,,,,,,,,false,
BTRUSDT,2823537083400000,rank_beyond_pool,,,false,,,,,,,,,false,
ORDIUSDT,2747072756500000,rank_beyond_pool,,,false,,,,,,,,,false,
GPSUSDT,2744098831900000,rank_beyond_pool,,,false,,,,,,,,,false,
MSFTUSDT,2702770820500000,rank_beyond_pool,,,false,,,,,,,,,false,
CHZUSDT,2580381428500000,rank_beyond_pool,,,false,,,,,,,,,false,
MORPHOUSDT,2580136581000000,rank_beyond_pool,,,false,,,,,,,,,false,
ZENUSDT,2573991372200000,rank_beyond_pool,,,false,,,,,,,,,false,
PYTHUSDT,2496834332200000,rank_beyond_pool,,,false,,,,,,,,,false,
