set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800,pct2 · tr1x1 · 4 ч · без выхода по стене,189,27.2598,-10.795,38.0548,12,15,515.2102199999999,43,63.3239,21.4711,41.8528,5,7,272.29277,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50be,pct2 · tr1x1 · 4 ч · gone50be,246,12.5399,-7.995,20.5349,11,15,308.48154,54,19.0609,4.6464,14.4145,5,7,102.92886000000001,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50bex,pct2 · tr1x1 · 4 ч · gone50bex,299,2.874,-6.5559,9.4298,11,15,85.93260000000001,59,8.558,1.1983,7.3597,4,7,50.4922,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90be,pct2 · tr1x1 · 4 ч · gone90be,233,15.7226,-7.198,22.9206,11,15,366.33658,52,34.934,8.5024,26.4316,5,7,181.65679999999998,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90bex,pct2 · tr1x1 · 4 ч · gone90bex,279,4.2778,-6.3421,10.6199,11,15,119.35062,57,21.1288,4.4113,16.7174,5,7,120.43415999999999,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800,pct2 · tr1x1 · 2 ч · без выхода по стене,211,16.9784,-11.1449,28.1234,10,15,358.24424,52,50.8368,9.3162,41.5206,6,7,264.35136,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50be,pct2 · tr1x1 · 2 ч · gone50be,260,7.589,-8.0754,15.6643,10,15,197.31400000000002,59,17.0153,1.1038,15.9115,6,7,100.39027,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50bex,pct2 · tr1x1 · 2 ч · gone50bex,310,0.1368,-7.2355,7.3724,10,15,4.2408,64,5.63,-1.1032,6.7332,4,7,36.032,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90be,pct2 · tr1x1 · 2 ч · gone90be,246,9.1905,-7.9972,17.1877,10,15,226.0863,57,22.5151,3.4796,19.0355,5,7,128.33607,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90bex,pct2 · tr1x1 · 2 ч · gone90bex,292,0.6673,-7.5233,8.1906,9,15,19.48516,61,10.7703,0.8644,9.9059,5,7,65.69883000000002,да
