symbol,stop_pct,deadline,mmr_pct,max_leverage,risk_limit_usd,adverse_p99_bps,adverse_n,adverse_source,lev_by_stop_k,lev_by_adverse_p99,leverage,margin_per_10k_usd,liq_distance_pct,funding_abs_mean_bps_8h,funding_abs_max_bps_8h
1000PEPEUSDT,2.0,3600s,1.0,50.0,200000.0,53.2,23,coin,20.0,65.3,20,500.0,4.0,0.846,1.888
BRUSDT,0.5,3600s,10.0,5.0,5000.0,233.0,0,pool,9.1,8.1,5,2000.0,10.0,0.621,3.657
BRUSDT,1.0,3600s,10.0,5.0,5000.0,233.0,0,pool,8.3,8.1,5,2000.0,10.0,0.621,3.657
BRUSDT,2.0,3600s,10.0,5.0,5000.0,233.0,0,pool,7.1,8.1,5,2000.0,10.0,0.621,3.657
KORUUSDT,0.5,3600s,1.25,50.0,10000.0,227.3,45,coin,44.4,28.4,28,357.1,2.32,1.036,25.198
KORUUSDT,1.0,3600s,1.25,50.0,10000.0,227.3,45,coin,30.8,28.4,28,357.1,2.32,1.036,25.198
KORUUSDT,2.0,3600s,1.25,50.0,10000.0,227.3,45,coin,19.0,28.4,19,526.3,4.01,1.036,25.198
PUMPFUNUSDT,0.5,3600s,1.0,75.0,5000.0,79.6,2,coin,50.0,55.7,50,200.0,1.0,0.502,2.017
PUMPFUNUSDT,1.0,3600s,1.0,75.0,5000.0,79.6,2,coin,33.3,55.7,33,303.0,2.03,0.502,2.017
PUMPFUNUSDT,2.0,3600s,1.0,75.0,5000.0,79.6,2,coin,20.0,55.7,20,500.0,4.0,0.502,2.017
XLMUSDT,0.5,3600s,0.67,75.0,10000.0,168.6,19,coin,59.9,42.4,42,238.1,1.71,0.875,2.107
XLMUSDT,1.0,3600s,0.67,75.0,10000.0,168.6,19,coin,37.5,42.4,37,270.3,2.03,0.875,2.107
XLMUSDT,2.0,3600s,0.67,75.0,10000.0,168.6,19,coin,21.4,42.4,21,476.2,4.09,0.875,2.107
SKHYNIXUSDT,0.5,3600s,0.7,100.0,10000.0,233.0,0,pool,58.8,33.0,33,303.0,2.33,2.093,18.558
SKHYNIXUSDT,1.0,3600s,0.7,100.0,10000.0,233.0,0,pool,37.0,33.0,33,303.0,2.33,2.093,18.558
SKHYNIXUSDT,2.0,3600s,0.7,100.0,10000.0,233.0,0,pool,21.3,33.0,21,476.2,4.06,2.093,18.558
LINKUSDT,0.5,3600s,0.67,75.0,10000.0,38.0,1,coin,59.9,95.2,59,169.5,1.02,0.599,1.0
LINKUSDT,1.0,3600s,0.67,75.0,10000.0,38.0,1,coin,37.5,95.2,37,270.3,2.03,0.599,1.0
LINKUSDT,2.0,3600s,0.67,75.0,10000.0,38.0,1,coin,21.4,95.2,21,476.2,4.09,0.599,1.0
BZUSDT,0.5,3600s,0.5,100.0,50000.0,24.6,15,coin,66.7,134.0,66,151.5,1.02,4.958,36.322
BZUSDT,1.0,3600s,0.5,100.0,50000.0,24.6,15,coin,40.0,134.0,40,250.0,2.0,4.958,36.322
BZUSDT,2.0,3600s,0.5,100.0,50000.0,24.6,15,coin,22.2,134.0,22,454.5,4.05,4.958,36.322
SKHYUSDT,0.5,3600s,0.7,100.0,10000.0,233.0,0,pool,58.8,33.0,33,303.0,2.33,0.58,23.713
SKHYUSDT,1.0,3600s,0.7,100.0,10000.0,233.0,0,pool,37.0,33.0,33,303.0,2.33,0.58,23.713
SKHYUSDT,2.0,3600s,0.7,100.0,10000.0,233.0,0,pool,21.3,33.0,21,476.2,4.06,0.58,23.713
ARBUSDT,0.5,3600s,1.0,50.0,200000.0,222.3,1,coin,50.0,31.0,31,322.6,2.23,0.828,2.339
ARBUSDT,1.0,3600s,1.0,50.0,200000.0,222.3,1,coin,33.3,31.0,31,322.6,2.23,0.828,2.339
ARBUSDT,2.0,3600s,1.0,50.0,200000.0,222.3,1,coin,20.0,31.0,20,500.0,4.0,0.828,2.339
LITUSDT,0.5,3600s,1.0,75.0,5000.0,32.5,1,coin,50.0,75.5,50,200.0,1.0,0.464,1.192
LITUSDT,1.0,3600s,1.0,75.0,5000.0,32.5,1,coin,33.3,75.5,33,303.0,2.03,0.464,1.192
LITUSDT,2.0,3600s,1.0,75.0,5000.0,32.5,1,coin,20.0,75.5,20,500.0,4.0,0.464,1.192
TAOUSDT,0.5,3600s,0.8,50.0,40000.0,34.0,3,coin,55.6,87.7,50,200.0,1.2,0.475,0.5
TAOUSDT,1.0,3600s,0.8,50.0,40000.0,34.0,3,coin,35.7,87.7,35,285.7,2.06,0.475,0.5
TAOUSDT,2.0,3600s,0.8,50.0,40000.0,34.0,3,coin,20.8,87.7,20,500.0,4.2,0.475,0.5
XAUTUSDT,0.5,3600s,0.75,75.0,250000.0,12.8,1,coin,57.1,113.9,57,175.4,1.0,0.316,0.854
XAUTUSDT,1.0,3600s,0.75,75.0,250000.0,12.8,1,coin,36.4,113.9,36,277.8,2.03,0.316,0.854
XAUTUSDT,2.0,3600s,0.75,75.0,250000.0,12.8,1,coin,21.1,113.9,21,476.2,4.01,0.316,0.854
WLDUSDT,0.5,3600s,0.8,50.0,40000.0,16.1,3,coin,55.6,104.1,50,200.0,1.2,0.826,2.106
WLDUSDT,1.0,3600s,0.8,50.0,40000.0,16.1,3,coin,35.7,104.1,35,285.7,2.06,0.826,2.106
WLDUSDT,2.0,3600s,0.8,50.0,40000.0,16.1,3,coin,20.8,104.1,20,500.0,4.2,0.826,2.106
AAVEUSDT,0.5,3600s,0.75,75.0,200000.0,233.0,0,pool,57.1,32.5,32,312.5,2.38,0.586,1.027
AAVEUSDT,1.0,3600s,0.75,75.0,200000.0,233.0,0,pool,36.4,32.5,32,312.5,2.38,0.586,1.027
AAVEUSDT,2.0,3600s,0.75,75.0,200000.0,233.0,0,pool,21.1,32.5,21,476.2,4.01,0.586,1.027
FILUSDT,0.5,3600s,2.0,25.0,200000.0,233.0,0,pool,33.3,23.1,23,434.8,2.35,0.701,1.282
FILUSDT,1.0,3600s,2.0,25.0,200000.0,233.0,0,pool,25.0,23.1,23,434.8,2.35,0.701,1.282
FILUSDT,2.0,3600s,2.0,25.0,200000.0,233.0,0,pool,16.7,23.1,16,625.0,4.25,0.701,1.282
MUUSDT,0.5,3600s,0.7,100.0,10000.0,25.0,3,coin,58.8,105.3,58,172.4,1.02,0.69,8.679
MUUSDT,1.0,3600s,0.7,100.0,10000.0,25.0,3,coin,37.0,105.3,37,270.3,2.0,0.69,8.679
MUUSDT,2.0,3600s,0.7,100.0,10000.0,25.0,3,coin,21.3,105.3,21,476.2,4.06,0.69,8.679
ONDOUSDT,0.5,3600s,0.8,50.0,40000.0,184.2,10,coin,55.6,37.9,37,270.3,1.9,0.494,1.604
ONDOUSDT,1.0,3600s,0.8,50.0,40000.0,184.2,10,coin,35.7,37.9,35,285.7,2.06,0.494,1.604
ONDOUSDT,2.0,3600s,0.8,50.0,40000.0,184.2,10,coin,20.8,37.9,20,500.0,4.2,0.494,1.604
BTWUSDT,0.5,3600s,5.0,10.0,10000.0,233.0,0,pool,16.7,13.6,10,1000.0,5.0,2.293,9.831
BTWUSDT,1.0,3600s,5.0,10.0,10000.0,233.0,0,pool,14.3,13.6,10,1000.0,5.0,2.293,9.831
BTWUSDT,2.0,3600s,5.0,10.0,10000.0,233.0,0,pool,11.1,13.6,10,1000.0,5.0,2.293,9.831
USELESSUSDT,0.5,3600s,4.0,12.5,15000.0,233.0,0,pool,20.0,15.8,12,833.3,4.33,1.982,15.527
USELESSUSDT,1.0,3600s,4.0,12.5,15000.0,233.0,0,pool,16.7,15.8,12,833.3,4.33,1.982,15.527
USELESSUSDT,2.0,3600s,4.0,12.5,15000.0,233.0,0,pool,12.5,15.8,12,833.3,4.33,1.982,15.527
FFUSDT,0.5,3600s,2.5,20.0,5000.0,233.0,0,pool,28.6,20.7,20,500.0,2.5,0.518,2.529
FFUSDT,1.0,3600s,2.5,20.0,5000.0,233.0,0,pool,22.2,20.7,20,500.0,2.5,0.518,2.529
FFUSDT,2.0,3600s,2.5,20.0,5000.0,233.0,0,pool,15.4,20.7,15,666.7,4.17,0.518,2.529
