set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90,pct2 · tr1x1 · 4 ч · gone90,281,2.7918,-7.4981,10.2899,11,15,78.44958,61,25.6647,2.9782,22.6865,5,7,156.55467000000002,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90tr0.25,pct2 · tr1x1 · 4 ч · gone90tr0.25,241,6.1495,-6.9742,13.1237,8,15,148.20295,57,34.7169,4.6433,30.0736,5,7,197.88633000000002,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90tr0.5,pct2 · tr1x1 · 4 ч · gone90tr0.5,224,11.3043,-8.1078,19.4122,10,15,253.21632,53,48.8708,8.7972,40.0736,5,7,259.01524,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90tr1,pct2 · tr1x1 · 4 ч · gone90tr1,200,14.0357,-8.2974,22.3331,10,15,280.714,46,61.5186,17.5325,43.9861,5,7,282.98555999999996,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800,pct2 · tr1x1 · 2 ч · без выхода по стене,211,16.9784,-11.1449,28.1234,10,15,358.24424,52,50.8368,9.3162,41.5206,6,7,264.35136,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50tr0.25,pct2 · tr1x1 · 2 ч · gone50tr0.25,269,2.1271,-7.669,9.796,9,15,57.21899,63,13.961,-1.7387,15.6997,5,7,87.9543,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50tr0.5,pct2 · tr1x1 · 2 ч · gone50tr0.5,242,5.6203,-8.6901,14.3104,9,15,136.01126000000002,58,31.7757,1.3951,30.3807,6,7,184.29906,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50tr1,pct2 · tr1x1 · 2 ч · gone50tr1,222,9.6625,-9.6809,19.3434,10,15,214.5075,52,44.3581,6.8018,37.5562,6,7,230.66212000000002,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90,pct2 · tr1x1 · 2 ч · gone90,292,0.7452,-7.7706,8.5158,10,15,21.75984,65,17.0842,0.1685,16.9157,5,7,111.04729999999999,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90tr0.25,pct2 · tr1x1 · 2 ч · gone90tr0.25,250,2.8652,-7.6716,10.5368,9,15,71.63000000000001,61,24.6219,1.8419,22.78,5,7,150.19359,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90tr0.5,pct2 · tr1x1 · 2 ч · gone90tr0.5,234,7.011,-8.7368,15.7478,8,15,164.0574,58,35.4354,4.6096,30.8258,6,7,205.52532000000002,да
t-bid-btc1h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90tr1,pct2 · tr1x1 · 2 ч · gone90tr1,217,7.886,-9.6302,17.5162,10,15,171.12619999999998,52,43.2617,7.9458,35.3159,6,7,224.96084000000002,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800,pct2 · tk1.75 · 4 ч · без выхода по стене,117,24.5733,-32.7229,57.2961,10,11,287.50761,19,69.2073,20.5735,48.6339,3,6,131.49387000000002,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50tr0.25,pct2 · tk1.75 · 4 ч · gone50tr0.25,194,0.6131,-12.1233,12.7365,9,11,11.89414,24,20.5562,-1.7454,22.3016,4,6,49.33488,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50tr0.5,pct2 · tk1.75 · 4 ч · gone50tr0.5,159,-2.3888,-16.6725,14.2836,7,11,-37.981919999999995,23,35.3584,0.7762,34.5822,4,6,81.32432000000001,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50tr1,pct2 · tk1.75 · 4 ч · gone50tr1,134,10.939,-23.126,34.065,9,11,146.5826,21,56.773,2.61,54.1629,3,6,119.22330000000002,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90,pct2 · tk1.75 · 4 ч · gone90,192,0.3637,-13.8126,14.1763,8,11,6.98304,22,13.6645,2.7682,10.8963,3,6,30.0619,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90tr0.25,pct2 · tk1.75 · 4 ч · gone90tr0.25,172,0.1316,-15.6755,15.8071,9,11,2.2635199999999998,22,15.7265,3.3206,12.4058,3,6,34.5983,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90tr0.5,pct2 · tk1.75 · 4 ч · gone90tr0.5,152,1.4804,-19.7929,21.2733,7,11,22.50208,21,38.9138,6.6346,32.2793,3,6,81.71898,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90tr1,pct2 · tk1.75 · 4 ч · gone90tr1,127,13.0212,-24.5697,37.5909,9,11,165.36924000000002,21,50.2456,7.229,43.0166,3,6,105.51576,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800,pct2 · tk1.75 · 2 ч · без выхода по стене,149,17.1662,-26.1754,43.3416,9,11,255.77638000000002,25,47.3911,5.0377,42.3534,4,6,118.47775000000001,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50tr0.25,pct2 · tk1.75 · 2 ч · gone50tr0.25,205,3.468,-11.1573,14.6253,7,11,71.094,27,13.0977,-3.3401,16.4378,4,6,35.36379,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50tr0.5,pct2 · tk1.75 · 2 ч · gone50tr0.5,176,5.3871,-15.0825,20.4696,7,11,94.81296,27,22.7131,-1.7282,24.4413,4,6,61.32537,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50tr1,pct2 · tk1.75 · 2 ч · gone50tr1,156,10.5914,-21.3539,31.9454,9,11,165.22584,25,31.9998,-0.1426,32.1424,3,6,79.9995,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90,pct2 · tk1.75 · 2 ч · gone90,210,2.6183,-12.277,14.8953,8,11,54.9843,25,7.536,-1.5175,9.0534,3,6,18.839999999999996,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90tr0.25,pct2 · tk1.75 · 2 ч · gone90tr0.25,188,2.0294,-13.8295,15.8589,7,11,38.15272,25,8.9242,-1.1442,10.0683,3,6,22.3105,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90tr0.5,pct2 · tk1.75 · 2 ч · gone90tr0.5,170,7.2144,-17.7594,24.9738,7,11,122.6448,25,27.2747,1.5372,25.7375,3,6,68.18674999999999,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90tr1,pct2 · tk1.75 · 2 ч · gone90tr1,152,11.9851,-22.3628,34.3479,9,11,182.17352,25,29.1035,2.282,26.8215,3,6,72.75874999999999,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800,pct2 · tr1x1 · 4 ч · без выхода по стене,123,24.9014,-29.4062,54.3076,10,11,306.28722,17,50.9863,15.6253,35.361,3,6,86.67671,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50tr0.25,pct2 · tr1x1 · 4 ч · gone50tr0.25,199,2.1261,-11.5201,13.6462,8,11,42.30939,24,20.2361,-1.523,21.7591,4,6,48.56664,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50tr0.5,pct2 · tr1x1 · 4 ч · gone50tr0.5,163,-0.674,-15.9223,15.2483,7,11,-10.9862,23,39.1344,1.4591,37.6752,4,6,90.00912,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50tr1,pct2 · tr1x1 · 4 ч · gone50tr1,137,11.1544,-22.5116,33.666,10,11,152.81528,20,45.5996,4.7059,40.8937,3,6,91.1992,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90,pct2 · tr1x1 · 4 ч · gone90,198,1.3368,-12.7049,14.0417,7,11,26.46864,22,14.1945,2.8999,11.2946,3,6,31.227899999999998,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90tr0.25,pct2 · tr1x1 · 4 ч · gone90tr0.25,178,1.4075,-14.4354,15.8429,8,11,25.0535,22,15.3773,3.5633,11.814,3,6,33.830059999999996,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90tr0.5,pct2 · tr1x1 · 4 ч · gone90tr0.5,157,3.1431,-18.2085,21.3516,8,11,49.34667,21,40.8668,7.3961,33.4707,3,6,85.82028,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90tr1,pct2 · tr1x1 · 4 ч · gone90tr1,133,13.9625,-22.9487,36.9112,10,11,185.70125000000002,20,38.7459,9.5558,29.19,3,6,77.4918,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800,pct2 · tr1x1 · 2 ч · без выхода по стене,151,15.2795,-25.3387,40.6182,9,11,230.72045000000003,24,35.3521,5.4721,29.88,3,6,84.84504,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50tr0.25,pct2 · tr1x1 · 2 ч · gone50tr0.25,207,2.7742,-11.1437,13.9179,7,11,57.425940000000004,27,12.3813,-3.2497,15.631,4,6,33.42951,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50tr0.5,pct2 · tr1x1 · 2 ч · gone50tr0.5,178,3.8191,-14.996,18.8151,8,11,67.97998,27,25.4978,-1.2537,26.7515,4,6,68.84406,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50tr1,pct2 · tr1x1 · 2 ч · gone50tr1,157,6.778,-21.2714,28.0494,9,11,106.4146,24,24.9693,0.0716,24.8976,3,6,59.92632,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90,pct2 · tr1x1 · 2 ч · gone90,214,1.4349,-12.0239,13.4589,8,11,30.70686,25,7.536,-1.5175,9.0534,3,6,18.839999999999996,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90tr0.25,pct2 · tr1x1 · 2 ч · gone90tr0.25,192,1.1363,-13.493,14.6294,8,11,21.81696,25,8.1505,-1.0465,9.197,3,6,20.37625,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90tr0.5,pct2 · tr1x1 · 2 ч · gone90tr0.5,174,5.0392,-17.3125,22.3517,8,11,87.68208000000001,25,28.4488,2.061,26.3878,3,6,71.12199999999999,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90tr1,pct2 · tr1x1 · 2 ч · gone90tr1,155,7.8624,-21.5891,29.4515,9,11,121.8672,24,21.9523,2.5973,19.355,3,6,52.68552,да
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800,pct2 · tk1.75 · 4 ч · без выхода по стене,492,0.8981,-12.2297,13.1278,10,15,44.18652,128,49.5951,22.4251,27.17,6,7,634.81728,да
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50tr0.25,pct2 · tk1.75 · 4 ч · gone50tr0.25,869,-3.2636,-6.5506,3.2871,9,15,-283.60684,193,12.2325,3.2616,8.9709,5,7,236.08724999999998,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50tr0.5,pct2 · tk1.75 · 4 ч · gone50tr0.5,699,-4.4272,-7.508,3.0808,8,15,-309.46128,173,23.1858,6.7884,16.3973,6,7,401.11433999999997,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50tr1,pct2 · tk1.75 · 4 ч · gone50tr1,566,-0.2902,-8.9523,8.6621,11,15,-16.425320000000003,144,32.5322,12.8394,19.6928,5,7,468.46368,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90,pct2 · tk1.75 · 4 ч · gone90,885,-4.3759,-7.1453,2.7694,8,15,-387.26715,204,16.2771,3.8902,12.3869,6,7,332.05284,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90tr0.25,pct2 · tk1.75 · 4 ч · gone90tr0.25,770,-5.3625,-7.4955,2.1331,8,15,-412.9125,182,17.8846,5.5615,12.3231,6,7,325.49971999999997,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90tr0.5,pct2 · tk1.75 · 4 ч · gone90tr0.5,658,-5.0637,-8.194,3.1303,7,15,-333.19146,170,26.353,8.6489,17.7041,4,7,448.00100000000003,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90tr1,pct2 · tk1.75 · 4 ч · gone90tr1,550,0.7929,-8.6634,9.4562,11,15,43.609500000000004,143,35.5079,14.6845,20.8235,5,7,507.76296999999994,да
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800,pct2 · tk1.75 · 2 ч · без выхода по стене,635,0.791,-10.6982,11.4892,10,15,50.228500000000004,158,24.6352,9.9577,14.6775,5,7,389.23616000000004,да
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50tr0.25,pct2 · tk1.75 · 2 ч · gone50tr0.25,925,-2.722,-6.3438,3.6219,10,15,-251.785,206,2.551,0.6413,1.9097,3,7,52.55060000000001,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50tr0.5,pct2 · tk1.75 · 2 ч · gone50tr0.5,772,-2.6081,-7.1797,4.5716,7,15,-201.34532,187,11.0868,3.4163,7.6705,6,7,207.32316,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50tr1,pct2 · tk1.75 · 2 ч · gone50tr1,664,0.3366,-9.2917,9.6283,10,15,22.35024,162,16.8002,7.1174,9.6828,5,7,272.16324,да
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90,pct2 · tk1.75 · 2 ч · gone90,983,-2.9886,-6.6549,3.6663,9,15,-293.77938,220,5.2796,0.7588,4.5208,5,7,116.15120000000002,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90tr0.25,pct2 · tk1.75 · 2 ч · gone90tr0.25,852,-4.6077,-6.8771,2.2695,9,15,-392.57604000000003,197,4.9792,2.0234,2.9558,5,7,98.09024,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90tr0.5,pct2 · tk1.75 · 2 ч · gone90tr0.5,742,-2.7182,-7.6759,4.9578,8,15,-201.69044,185,13.9883,4.6256,9.3627,6,7,258.78355,нет
