symbol,side,days,approaches,max_age_min,age_ge_15m,age_ge_30m,age_ge_45m,age_ge_60m,age_ge_90m,age_ge_120m,age45_usd_ge_10k,age45_usd_ge_25k,age45_usd_ge_50k,age45_usd_ge_100k
NVDAUSDT,ask,23,713896,75,22,6,4,3,0,0,4,1,0,0
ONDOUSDT,bid,23,275895,237,2437,581,247,126,45,23,247,225,76,24
ONDOUSDT,ask,23,279888,194,1666,366,138,63,19,9,138,128,43,20
OPUSDT,bid,23,26823,32,14,2,0,0,0,0,0,0,0,0
OPUSDT,ask,23,12745,68,27,8,5,2,0,0,5,4,1,0
PENDLEUSDT,bid,23,1874,220,37,17,10,7,3,2,10,7,3,3
PENDLEUSDT,ask,23,1860,67,5,2,1,1,0,0,1,0,0,0
PENGUUSDT,bid,23,59559,52,167,20,4,0,0,0,4,0,0,0
PENGUUSDT,ask,23,35919,49,124,13,1,0,0,0,1,0,0,0
POWERUSDT,bid,21,119,5,0,0,0,0,0,0,0,0,0,0
POWERUSDT,ask,21,130,16,1,0,0,0,0,0,0,0,0,0
PUFFERUSDT,bid,23,28,39,5,3,0,0,0,0,0,0,0,0
PUFFERUSDT,ask,23,16,2,0,0,0,0,0,0,0,0,0,0
PUMPFUNUSDT,bid,23,338491,105,1295,165,36,9,1,0,36,17,3,0
PUMPFUNUSDT,ask,23,339725,68,1378,159,14,4,0,0,14,1,1,1
RAYDIUMUSDT,bid,18,774,49,4,3,1,0,0,0,1,0,0,0
RAYDIUMUSDT,ask,18,781,4,0,0,0,0,0,0,0,0,0,0
SAMSUNGUSDT,bid,23,3658970,23,3,0,0,0,0,0,0,0,0,0
SAMSUNGUSDT,ask,23,3728189,23,7,0,0,0,0,0,0,0,0,0
SENTUSDT,bid,23,70,0,0,0,0,0,0,0,0,0,0,0
SENTUSDT,ask,23,42,3,0,0,0,0,0,0,0,0,0,0
SHIB1000USDT,bid,23,151000,45,58,3,1,0,0,0,1,0,0,0
SHIB1000USDT,ask,23,160472,52,82,7,2,0,0,0,2,0,0,0
SKHYNIXUSDT,bid,23,1701552,3,0,0,0,0,0,0,0,0,0,0
SKHYNIXUSDT,ask,23,1814687,3,0,0,0,0,0,0,0,0,0,0
SKHYUSDT,bid,23,1048155,36,20,4,0,0,0,0,0,0,0,0
SKHYUSDT,ask,23,970267,100,20,4,1,1,1,0,1,1,0,0
SNXXUSDT,bid,23,158604,158,272,81,34,23,12,6,34,26,4,1
SNXXUSDT,ask,23,156370,158,255,69,18,4,1,1,18,16,5,0
SOXSUSDT,bid,23,485740,120,160,62,25,13,4,1,25,8,5,0
SOXSUSDT,ask,23,482176,186,140,48,18,12,3,2,18,7,3,0
SPCXUSDT,bid,23,892847,253,202,54,15,11,6,6,15,5,0,0
SPCXUSDT,ask,23,868347,373,217,70,29,16,6,2,29,11,1,0
STEEMUSDT,bid,23,176,69,9,8,5,2,0,0,5,0,0,0
STEEMUSDT,ask,23,134,2,0,0,0,0,0,0,0,0,0,0
STORJUSDT,bid,23,333,136,23,16,11,9,4,1,11,3,0,0
STORJUSDT,ask,23,381,6,0,0,0,0,0,0,0,0,0,0
SUIUSDT,bid,23,648783,64,566,59,18,5,0,0,18,2,1,0
SUIUSDT,ask,23,641306,74,675,110,17,6,0,0,17,1,0,0
TAOUSDT,bid,23,1333422,7,0,0,0,0,0,0,0,0,0,0
TAOUSDT,ask,23,1362726,5,0,0,0,0,0,0,0,0,0,0
