set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1-14400-ttl1800,pct0.75 · tk1 · 4 ч · без выхода по стене,211,2.3166,-9.6823,11.999,10,15,48.88026000000001,50,36.2318,6.8213,29.4105,5,7,181.159,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1-3600-ttl1800,pct0.75 · tk1 · 1 ч · без выхода по стене,253,1.9945,-7.271,9.2655,9,15,50.46085,59,28.0756,1.9254,26.1502,5,7,165.64604000000003,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1-7200-ttl1800,pct0.75 · tk1 · 2 ч · без выхода по стене,227,2.2681,-9.361,11.629,9,15,51.48587,56,35.636,4.4899,31.1461,6,7,199.56160000000003,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1.25-14400-ttl1800,pct0.75 · tk1.25 · 4 ч · без выхода по стене,209,-0.3118,-10.0898,9.778,9,15,-6.5166200000000005,49,41.2133,9.7285,31.4848,4,7,201.94517,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1.25-3600-ttl1800,pct0.75 · tk1.25 · 1 ч · без выхода по стене,251,0.4854,-7.4394,7.9248,9,15,12.183539999999999,59,30.8165,2.7558,28.0607,5,7,181.81735,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1.25-7200-ttl1800,pct0.75 · tk1.25 · 2 ч · без выхода по стене,225,-0.0774,-9.7019,9.6245,7,15,-1.7414999999999998,56,39.4389,6.6331,32.8058,5,7,220.85783999999998,нет
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1.5-14400-ttl1800,pct0.75 · tk1.5 · 4 ч · без выхода по стене,204,3.0191,-9.9337,12.9528,10,15,61.589639999999996,48,38.0009,15.7138,22.2871,3,7,182.40432,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1.5-3600-ttl1800,pct0.75 · tk1.5 · 1 ч · без выхода по стене,250,0.6792,-7.4577,8.1369,8,15,16.98,59,30.3474,2.9952,27.3522,4,7,179.04966,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1.5-7200-ttl1800,pct0.75 · tk1.5 · 2 ч · без выхода по стене,223,0.646,-9.4972,10.1432,9,15,14.4058,56,38.8802,7.4983,31.3819,4,7,217.72912000000002,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1.75-14400-ttl1800,pct0.75 · tk1.75 · 4 ч · без выхода по стене,204,5.6161,-9.9044,15.5205,9,15,114.56844000000001,48,44.6687,16.6317,28.0369,4,7,214.40976,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1.75-3600-ttl1800,pct0.75 · tk1.75 · 1 ч · без выхода по стене,250,0.7924,-7.4053,8.1977,8,15,19.81,59,34.0406,3.2306,30.81,4,7,200.83954,да
t-bid-btc1h-q1,ladder3x2..20w2-pct0.75-tk1.75-7200-ttl1800,pct0.75 · tk1.75 · 2 ч · без выхода по стене,223,2.5282,-9.4412,11.9694,9,15,56.378859999999996,56,43.1385,7.9308,35.2077,4,7,241.57559999999998,да
